,Interests,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Key events,Total revenue,,,,,,,,,,,,,,,
1,Technology/Technophiles,"10,602","9,296","8,873",53.91%,0.84,18s,119132,4068,3508,,,,,,,,,,,,,,,
2,Banking & Finance/Avid Investors,"6,887","5,906","5,706",51.51%,0.83,17s,78287,2667,131,,,,,,,,,,,,,,,
3,Media & Entertainment/Movie Lovers,"6,650","5,924","5,198",50.06%,0.78,17s,73439,2406,3062,,,,,,,,,,,,,,,
4,Media & Entertainment/Light TV Viewers,"6,298","5,628","5,018",51.75%,0.8,18s,69793,2382,3056,,,,,,,,,,,,,,,
5,Media & Entertainment/TV Lovers,"6,046","5,393","4,865",51.77%,0.8,19s,68322,2403,3206,,,,,,,,,,,,,,,
6,Travel/Travel Buffs,"5,895","5,124","4,857",54.98%,0.82,18s,66234,2490,2933,,,,,,,,,,,,,,,
7,News & Politics/Avid News Readers/Avid Business News Readers,"5,857","5,037","4,905",52.18%,0.84,17s,67039,2295,78,,,,,,,,,,,,,,,
8,Lifestyles & Hobbies/Shutterbugs,"5,729","5,097","4,539",52.63%,0.79,18s,62868,1970,3066,,,,,,,,,,,,,,,
9,News & Politics/Avid News Readers,"5,619","4,874","4,222",48.84%,0.75,17s,61226,1998,3020,,,,,,,,,,,,,,,
10,News & Politics/Avid News Readers/Entertainment News Enthusiasts,"5,600","4,974","4,284",47.46%,0.77,17s,62094,2048,273,,,,,,,,,,,,,,,
11,Shoppers/Shopping Enthusiasts,"5,593","4,894","4,409",47.98%,0.79,17s,62875,2041,3178,,,,,,,,,,,,,,,
12,Technology/Mobile Enthusiasts,"5,417","4,774","4,297",51.65%,0.79,18s,60706,2154,441,,,,,,,,,,,,,,,
13,Lifestyles & Hobbies/Business Professionals,"4,862","4,200","4,034",49.94%,0.83,17s,55594,1488,443,,,,,,,,,,,,,,,
14,Media & Entertainment/Gamers/Hardcore Gamers,"4,096","3,665","3,072",49.06%,0.75,18s,45616,1712,144,,,,,,,,,,,,,,,
15,Technology/Social Media Enthusiasts,"4,085","3,629","3,173",50.62%,0.78,17s,44520,1383,110,,,,,,,,,,,,,,,
16,Media & Entertainment/Gamers/Casual & Social Gamers,"4,051","3,669","2,626",39.32%,0.65,12s,42275,1092,2956,,,,,,,,,,,,,,,
17,Food & Dining/Cooking Enthusiasts/Aspiring Chefs,"3,754","3,324","2,769",45.96%,0.74,15s,41392,1233,198,,,,,,,,,,,,,,,
18,Media & Entertainment/Music Lovers,"3,668","3,174","2,924",52.89%,0.8,20s,41786,1637,2987,,,,,,,,,,,,,,,
19,Home & Garden/Home Decor Enthusiasts,"3,274","2,851","2,444",46.23%,0.75,17s,36522,1151,3077,,,,,,,,,,,,,,,
20,Media & Entertainment/Book Lovers,"3,141","2,793","2,385",52.56%,0.76,17s,33833,1041,191,,,,,,,,,,,,,,,
21,Sports & Fitness/Sports Fans,"3,099","2,661","2,330",49.64%,0.75,18s,33917,1180,2980,,,,,,,,,,,,,,,
22,Vehicles & Transportation/Auto Enthusiasts,"2,852","2,504","2,232",52.10%,0.78,17s,31339,1027,211,,,,,,,,,,,,,,,
23,Shoppers/Bargain Hunters,"2,795","2,441","2,175",46.38%,0.78,16s,31401,1060,2987,,,,,,,,,,,,,,,
24,Media & Entertainment/Comics & Animation Fans,"2,572","2,309","2,033",52.83%,0.79,21s,30074,1209,198,,,,,,,,,,,,,,,
25,News & Politics/Avid News Readers/Avid Political News Readers,"2,538","2,218","1,999",52.65%,0.79,19s,28898,994,46,,,,,,,,,,,,,,,
26,Food & Dining/Foodies,"2,441","2,124","1,951",48.78%,0.8,17s,27788,938,0,,,,,,,,,,,,,,,
27,Sports & Fitness/Health & Fitness Buffs,"2,361","2,081","1,743",46.54%,0.74,17s,26007,872,144,,,,,,,,,,,,,,,
28,Shoppers/Value Shoppers,"2,334","2,024","1,913",55.53%,0.82,19s,26700,971,2812,,,,,,,,,,,,,,,
29,Shoppers/Shoppers by Store Type/Department Store Shoppers,"2,159","1,878","1,589",43.07%,0.74,15s,23827,752,2987,,,,,,,,,,,,,,,
30,Sports & Fitness/Sports Fans/Basketball Fans,"2,152","1,841","1,763",49.40%,0.82,18s,24751,729,0,,,,,,,,,,,,,,,
31,Lifestyles & Hobbies/Green Living Enthusiasts,"2,045","1,797","1,645",56.37%,0.8,21s,23316,913,0,,,,,,,,,,,,,,,
32,Lifestyles & Hobbies/Outdoor Enthusiasts,"1,964","1,696","1,503",51.37%,0.77,16s,21333,693,0,,,,,,,,,,,,,,,
33,Media & Entertainment/Music Lovers/Pop Music Fans,"1,921","1,673","1,481",51.98%,0.77,16s,21138,801,144,,,,,,,,,,,,,,,
34,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,"1,893","1,667","1,529",48.79%,0.81,18s,22035,754,0,,,,,,,,,,,,,,,
35,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,"1,888","1,653","1,533",49.09%,0.81,18s,21972,785,0,,,,,,,,,,,,,,,
36,Lifestyles & Hobbies/Family-Focused,"1,842","1,601","1,423",48.29%,0.77,18s,20750,651,2956,,,,,,,,,,,,,,,
37,Sports & Fitness/Sports Fans/Fans of American Football,"1,808","1,572","1,392",49.27%,0.77,17s,20675,654,100,,,,,,,,,,,,,,,
38,News & Politics/Avid News Readers/Avid Local News Readers,"1,785","1,533","1,280",45.93%,0.72,17s,19378,572,0,,,,,,,,,,,,,,,
39,Media & Entertainment/Gamers,"1,762","1,530","1,444",56.06%,0.82,19s,19767,706,0,,,,,,,,,,,,,,,
40,Lifestyles & Hobbies/Frequently Attends Live Events,"1,717","1,462","1,409",53.21%,0.82,18s,19365,715,144,,,,,,,,,,,,,,,
41,Media & Entertainment/Gamers/Roleplaying Game Fans,"1,706","1,540","1,302",54.98%,0.76,21s,19682,866,144,,,,,,,,,,,,,,,
42,Sports & Fitness/Sports Fans/Soccer Fans,"1,648","1,472","1,141",47.13%,0.69,16s,16745,447,0,,,,,,,,,,,,,,,
43,Media & Entertainment/TV Lovers/TV Drama Fans,"1,541","1,380","1,099",45.53%,0.71,18s,16808,555,144,,,,,,,,,,,,,,,
44,Media & Entertainment/Gamers/Action Game Fans,"1,526","1,390","1,089",52.74%,0.71,21s,17211,707,144,,,,,,,,,,,,,,,
45,Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,"1,447","1,199","1,242",40.57%,0.86,17s,19290,487,144,,,,,,,,,,,,,,,
46,Lifestyles & Hobbies/Pet Lovers,"1,425","1,247","1,062",46.97%,0.75,19s,16497,589,54,,,,,,,,,,,,,,,
47,Beauty & Wellness/Beauty Mavens,"1,368","1,199","1,040",48.92%,0.76,17s,14764,487,121,,,,,,,,,,,,,,,
48,"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans","1,336","1,156",978,44.33%,0.73,15s,14495,393,144,,,,,,,,,,,,,,,
49,Food & Dining/Cooking Enthusiasts,"1,297","1,118","1,036",53.37%,0.8,22s,15433,554,198,,,,,,,,,,,,,,,
50,Media & Entertainment/Music Lovers/World Music Fans,"1,235","1,115",853,50.62%,0.69,13s,11890,334,0,,,,,,,,,,,,,,,
51,Lifestyles & Hobbies/Fashionistas,"1,184","1,026",989,48.77%,0.84,17s,13436,447,0,,,,,,,,,,,,,,,
52,Shoppers/Luxury Shoppers,"1,182","1,034",951,50.86%,0.8,18s,13387,468,144,,,,,,,,,,,,,,,
53,Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,"1,115","1,010",914,55.23%,0.82,25s,13542,566,144,,,,,,,,,,,,,,,
54,Home & Garden/Do-It-Yourselfers,"1,080",958,749,46.06%,0.69,14s,11326,343,2956,,,,,,,,,,,,,,,
55,Lifestyles & Hobbies/Nightlife Enthusiasts,"1,061",900,847,51.93%,0.8,19s,11837,445,144,,,,,,,,,,,,,,,
56,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,"1,035",926,723,40.06%,0.7,17s,11849,374,144,,,,,,,,,,,,,,,
57,Travel/Travel Buffs/Beachbound Travelers,"1,032",888,754,48.21%,0.73,18s,11254,323,0,,,,,,,,,,,,,,,
58,Media & Entertainment/Gamers/Shooter Game Fans,"1,021",948,716,51.36%,0.7,19s,11340,461,144,,,,,,,,,,,,,,,
59,Travel/Travel Buffs/Family Vacationers,986,828,828,55.98%,0.84,22s,11834,407,0,,,,,,,,,,,,,,,
60,Travel/Travel Buffs/Luxury Travelers,984,831,763,51.94%,0.78,21s,11088,372,0,,,,,,,,,,,,,,,
61,Sports & Fitness/Sports Fans/Baseball Fans,950,808,732,48.74%,0.77,18s,10543,307,0,,,,,,,,,,,,,,,
62,Beauty & Wellness/Frequently Visits Salons,902,792,667,48.79%,0.74,17s,9803,327,121,,,,,,,,,,,,,,,
63,Lifestyles & Hobbies/Art & Theater Aficionados,895,764,715,52.88%,0.8,17s,9862,365,121,,,,,,,,,,,,,,,
64,Media & Entertainment/Gamers/Adventure & Strategy Game Fans,895,825,638,52.08%,0.71,19s,9762,410,144,,,,,,,,,,,,,,,
65,Food & Dining/Fast Food Cravers,806,705,617,44.52%,0.77,22s,10300,374,0,,,,,,,,,,,,,,,
66,Lifestyles & Hobbies/Pet Lovers/Dog Lovers,790,687,551,41.46%,0.7,15s,8600,247,0,,,,,,,,,,,,,,,
67,Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,784,673,609,51.22%,0.78,21s,9176,336,198,,,,,,,,,,,,,,,
68,Media & Entertainment/Music Lovers/Rock Music Fans,759,674,581,50.30%,0.77,18s,8565,350,144,,,,,,,,,,,,,,,
69,Vehicles & Transportation/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,701,615,544,52.92%,0.78,19s,7913,320,0,,,,,,,,,,,,,,,
70,Sports & Fitness/Sports Fans/Water Sports Enthusiasts,690,576,550,55.56%,0.8,18s,7762,264,0,,,,,,,,,,,,,,,
71,Vehicles & Transportation/Auto Enthusiasts/Truck & SUV Enthusiasts,630,543,478,50.85%,0.76,20s,7230,295,0,,,,,,,,,,,,,,,
72,Media & Entertainment/TV Lovers/TV Comedy Fans,621,537,442,47.37%,0.71,21s,7069,239,144,,,,,,,,,,,,,,,
73,Media & Entertainment/Music Lovers/Country Music Fans,542,468,415,48.42%,0.77,15s,5977,266,0,,,,,,,,,,,,,,,
74,Sports & Fitness/Sports Fans/Cricket Enthusiasts,516,469,413,58.50%,0.8,15s,5290,172,0,,,,,,,,,,,,,,,
75,Lifestyles & Hobbies/Thrill Seekers,482,428,367,51.11%,0.76,21s,5388,205,0,,,,,,,,,,,,,,,
76,Media & Entertainment/Movie Lovers/Comedy Movie Fans,481,420,384,49.55%,0.8,27s,6233,247,312,,,,,,,,,,,,,,,
77,Media & Entertainment/Movie Lovers/Family Movie Fans,475,414,374,52.38%,0.79,22s,5769,214,0,,,,,,,,,,,,,,,
78,Media & Entertainment/TV Lovers/Sci-Fi & Fantasy TV Fans,466,424,369,57.39%,0.79,26s,5618,262,144,,,,,,,,,,,,,,,
79,Media & Entertainment/Movie Lovers/Fans of South Asian Film,465,420,358,54.57%,0.77,15s,4753,164,0,,,,,,,,,,,,,,,
80,Sports & Fitness/Sports Fans/Golf Enthusiasts,458,382,334,48.48%,0.73,20s,4815,156,0,,,,,,,,,,,,,,,
81,Media & Entertainment/Gamers/Driving & Racing Game Fans,453,421,261,38.67%,0.58,10s,4319,85,0,,,,,,,,,,,,,,,
82,Sports & Fitness/Sports Fans/Hockey Fans,398,352,288,43.37%,0.72,16s,4363,116,0,,,,,,,,,,,,,,,
83,Travel/Travel Buffs/Snowbound Travelers,387,340,290,55.77%,0.75,15s,3935,133,0,,,,,,,,,,,,,,,
84,Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,347,305,269,56.28%,0.78,17s,3529,143,144,,,,,,,,,,,,,,,
85,Sports & Fitness/Sports Fans/Winter Sports Enthusiasts,322,289,235,47.38%,0.73,18s,3482,115,0,,,,,,,,,,,,,,,
86,Sports & Fitness/Sports Fans/Motor Sports Enthusiasts,311,266,262,53.91%,0.84,23s,3612,150,0,,,,,,,,,,,,,,,
87,Lifestyles & Hobbies/Pet Lovers/Cat Lovers,305,268,206,44.69%,0.68,17s,3270,99,0,,,,,,,,,,,,,,,
88,Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,296,261,219,48.34%,0.74,20s,3160,89,0,,,,,,,,,,,,,,,
89,News & Politics/Avid News Readers/Women's Media Fans,264,230,194,45.43%,0.73,17s,2739,62,0,,,,,,,,,,,,,,,
90,Media & Entertainment/Music Lovers/Electronic Dance Music Fans,261,235,205,54.81%,0.79,15s,2840,124,0,,,,,,,,,,,,,,,
91,Sports & Fitness/Sports Fans/Racquetball Enthusiasts,256,217,183,48.80%,0.71,19s,2809,88,144,,,,,,,,,,,,,,,
92,Media & Entertainment/Movie Lovers/Horror Movie Fans,243,217,216,58.54%,0.89,26s,3027,139,0,,,,,,,,,,,,,,,
93,Sports & Fitness/Sports Fans/Running Enthusiasts,226,196,184,55.76%,0.81,18s,2470,71,0,,,,,,,,,,,,,,,
94,Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,223,202,155,50.49%,0.7,20s,2505,105,0,,,,,,,,,,,,,,,
95,Sports & Fitness/Sports Fans/Boating & Sailing Enthusiasts,217,183,157,50.97%,0.72,14s,2225,60,0,,,,,,,,,,,,,,,
96,Media & Entertainment/Music Lovers/Metalheads,212,190,132,43.42%,0.62,17s,2192,87,144,,,,,,,,,,,,,,,
97,Sports & Fitness/Sports Fans/Cycling Enthusiasts,206,179,170,58.62%,0.83,19s,2303,67,0,,,,,,,,,,,,,,,
98,Sports & Fitness/Sports Fans/Fight & Wrestling Fans,203,185,163,56.60%,0.8,23s,2220,69,0,,,,,,,,,,,,,,,
99,Sports & Fitness/Sports Fans/Tennis Enthusiasts,198,167,135,47.04%,0.68,18s,2058,55,0,,,,,,,,,,,,,,,
100,Media & Entertainment/TV Lovers/Family Television Fans,187,166,124,48.25%,0.66,20s,1974,68,0,,,,,,,,,,,,,,,
101,Sports & Fitness/Sports Fans/Skiing Enthusiasts,185,165,137,53.31%,0.74,16s,1916,71,0,,,,,,,,,,,,,,,
102,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,172,155,154,52.20%,0.9,16s,1931,80,0,,,,,,,,,,,,,,,
103,Shoppers/Shoppers by Store Type/Convenience Store Shoppers,151,137,98,40.50%,0.65,16s,1522,26,0,,,,,,,,,,,,,,,
104,Media & Entertainment/Music Lovers/Fans of Latin Music,147,125,106,50.72%,0.72,16s,1442,42,0,,,,,,,,,,,,,,,
105,Media & Entertainment/Music Lovers/Classical Music Enthusiasts,143,128,100,48.54%,0.7,21s,1478,56,244,,,,,,,,,,,,,,,
106,News & Politics/Avid News Readers/Avid World News Readers,131,107,108,56.84%,0.82,22s,1514,52,0,,,,,,,,,,,,,,,
107,Media & Entertainment/Gamers/Sports Game Fans,126,114,85,46.70%,0.67,12s,1225,23,0,,,,,,,,,,,,,,,
108,News & Politics/Avid News Readers/Men's Media Fans,109,94,49,29.70%,0.45,13s,962,19,0,,,,,,,,,,,,,,,
109,Banking & Finance,95,83,62,41.06%,0.65,12s,876,18,0,,,,,,,,,,,,,,,
110,Travel/Business Travelers,88,77,65,51.59%,0.74,14s,894,23,0,,,,,,,,,,,,,,,
